Id,Score,Country,Altitude,Variety,Processing,Arome,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Cupper Points,Defects,Moisture,Defects 1,Quakers,Color,Defects 2
"#471378","82.25","Mexico","1300","Sarchimor","Washed / Wet","7.33","7.58","7.25","7.58","7.5","7.5","10.0","10.0","10.0","7.5","0.0","12 %","2 full defects","1","Green","8 full defects"
"#981880","82.17","Guatemala","1450","Caturra","Washed / Wet","7.42","7.5","7.25","7.5","7.5","7.5","10.0","10.0","10.0","7.5","0.0","10 %","0 full defects","1","Green","2 full defects"
"#873941","82.00","Guatemala","1300","Catuai","Washed / Wet","7.5","7.58","7.25","7.33","7.33","7.5","10.0","10.0","10.0","7.5","0.0","11 %","0 full defects","1","Green","4 full defects"
"#468978","81.92","Guatemala","1700","Caturra","Washed / Wet","7.33","7.42","7.42","7.33","7.5","7.5","10.0","10.0","10.0","7.42","0.0","0 %","0 full defects","0","Blue-Green","5 full defects"
"#778342","81.92","Mexico","1300","Typica","Washed / Wet","7.5","7.5","7.25","7.42","7.33","7.33","10.0","10.0","10.0","7.58","0.0","11 %","0 full defects","0","Green","0 full defects"
"#341749","81.83","Brazil","973","Other","Natural / Dry","7.33","7.42","7.08","7.58","7.5","7.42","10.0","10.0","10.0","7.5","0.0","11 %","0 full defects","0","Blue-Green","1 full defects"
"#773502","81.75","Guatemala","1600","Bourbon","Washed / Wet","7.42","7.42","7.25","7.42","7.42","7.33","10.0","10.0","10.0","7.5","0.0","11 %","0 full defects","1","Green","4 full defects"
"#298329","81.75","Brazil","1280","Other","Washed / Wet","7.42","7.33","7.33","7.33","7.67","7.25","10.0","10.0","10.0","7.42","0.0","11 %","0 full defects","0","Bluish-Green","0 full defects"
"#357799","81.75","Brazil","900","Mundo Novo","Natural / Dry","7.25","7.42","7.25","7.58","7.5","7.33","10.0","10.0","10.0","7.42","0.0","11 %","0 full defects","0","nan","7 full defects"
"#202360","81.75","Brazil","900","Mundo Novo","Natural / Dry","7.33","7.5","7.25","7.42","7.33","7.5","10.0","10.0","10.0","7.42","0.0","11 %","0 full defects","0","Green","6 full defects"
"#503643","81.67","Honduras","1500","Catuai","Washed / Wet","7.58","7.5","7.17","7.25","7.33","7.42","10.0","10.0","10.0","7.42","0.0","11 %","0 full defects","0","Green","4 full defects"
"#734614","81.67","Vietnam","1040","Catimor","Washed / Wet","7.17","7.42","7.33","7.08","7.42","7.67","10.0","10.0","10.0","7.58","0.0","13 %","1 full defects","0","Green","0 full defects"
"#485415","81.67","Honduras","1600","Catuai","Washed / Wet","7.58","7.42","7.25","7.33","7.42","7.25","10.0","10.0","10.0","7.42","0.0","10 %","0 full defects","0","Green","2 full defects"
"#154271","81.50","Brazil","1150","Catuai","Natural / Dry","7.42","7.5","7.17","7.33","7.33","7.42","10.0","10.0","10.0","7.33","0.0","11 %","0 full defects","0","Green","8 full defects"
"#244253","81.50","Nicaragua","1100","Caturra","Washed / Wet","7.42","7.42","7.17","7.58","7.17","7.42","10.0","10.0","10.0","7.33","0.0","11 %","2 full defects","2","Green","9 full defects"
"#609705","81.42","El Salvador","1400","Bourbon","Washed / Wet","7.25","7.58","7.33","7.42","7.25","7.33","10.0","10.0","10.0","7.25","0.0","0 %","0 full defects","3","Bluish-Green","2 full defects"
"#606938","81.33","El Salvador","1200","Bourbon","Washed / Wet","7.08","7.17","7.08","7.5","7.5","7.33","10.0","10.0","10.0","7.67","0.0","12 %","0 full defects","2","Green","5 full defects"
"#560979","81.33","Guatemala","1901.64","Bourbon","Washed / Wet","7.42","7.5","7.17","7.42","7.25","7.33","10.0","10.0","10.0","7.25","0.0","9 %","0 full defects","2","Green","4 full defects"
"#416481","81.25","Costa Rica","1850","Caturra","Washed / Wet","7.25","7.33","7.25","7.42","7.33","7.33","10.0","10.0","10.0","7.33","0.0","9 %","0 full defects","2","Green","4 full defects"
"#131629","81.17","Vietnam","1040","Catimor","Washed / Wet","7.58","7.67","7.25","7.58","7.42","7.33","10.0","10.0","8.67","7.67","0.0","13 %","0 full defects","0","Bluish-Green","0 full defects"
"#436849","81.08","Indonesia","1200","Mandheling","Washed / Wet","7.33","7.33","7.17","7.5","7.42","7.08","10.0","10.0","10.0","7.25","0.0","12 %","0 full defects","8","Green","4 full defects"
"#139380","81.00","Honduras","1400","Catimor","Washed / Wet","7.5","7.33","7.08","7.17","7.5","7.25","10.0","10.0","10.0","7.17","0.0","10 %","0 full defects","0","Green","5 full defects"
"#750460","80.92","Taiwan","800","Typica","Pulped natural / honey","7.17","7.25","7.33","7.17","7.33","7.25","10.0","10.0","10.0","7.42","0.0","8 %","0 full defects","0","Green","0 full defects"
"#126880","79.58","Guatemala","1800","Catuai","Natural / Dry","7.0","7.08","7.0","7.17","7.25","7.0","10.0","10.0","10.0","7.08","0.0","11 %","0 full defects","1","Green","5 full defects"
"#746524","79.33","Brazil","860","Other","Natural / Dry","7.75","7.83","7.75","7.83","7.75","7.83","7.33","7.33","10.0","7.92","0.0","11 %","0 full defects","0","Bluish-Green","1 full defects"
"#552322","79.00","Taiwan","600","Bourbon","Pulped natural / honey","7.08","7.17","7.0","6.92","6.83","7.0","10.0","10.0","10.0","7.0","0.0","11 %","0 full defects","0","Green","0 full defects"
"#345719","78.83","Brazil","1150","Catuai","Natural / Dry","7.0","7.17","6.83","7.17","6.83","7.0","10.0","10.0","10.0","6.83","0.0","11 %","0 full defects","0","Bluish-Green","9 full defects"
"#458487","78.33","Nicaragua","1100","SHG","Washed / Wet","7.17","6.67","6.42","7.08","7.17","6.92","10.0","10.0","10.0","6.92","0.0","13 %","0 full defects","0","Green","1 full defects"
"#564165","70.42","Colombia","1800","Other","Washed / Wet","6.83","6.75","6.58","7.33","7.17","7.0","7.33","7.33","10.0","6.75","-2.67","11 %","0 full defects","0","Green","0 full defects"
